% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.09	1	13	10	1	43	20	161	0
0.09	1	5	10	1	54	20	161	0
0.09	1	8	10	1	75	0	7	1
0.09	1	15	10	1	82	20	161	1
0.091	1	3	10	2	62	20	161	0
0.091	1	11	10	2	69	20	161	0
0.091	1	7	10	2	88	20	161	1
0.091	1	4	10	2	93	0	7	1
0.092	1	8	10	3	75	20	161	0
0.092	1	15	10	3	82	20	161	0
0.092	1	1	10	3	1	20	161	1
0.092	1	10	10	3	14	20	161	1
0.093	1	7	10	4	88	20	161	0
0.093	1	4	10	4	93	20	161	0
0.093	1	12	10	4	26	20	161	1
0.093	1	14	10	4	35	20	161	1
0.094	1	1	10	5	1	20	161	0
0.094	1	10	10	5	14	20	161	0
0.094	1	13	10	5	43	20	161	1
0.094	1	5	10	5	54	20	161	1
0.095	1	3	10	6	62	20	161	1
0.095	1	11	10	6	69	20	161	1
0.096	1	12	10	7	26	20	161	0
0.096	1	14	10	7	35	20	161	0
0.096	1	8	10	7	75	20	161	1
0.096	1	15	10	7	82	20	161	1
0.097	1	13	10	8	43	20	161	0
0.097	1	5	10	8	54	20	161	0
0.097	1	7	10	8	88	20	161	1
0.097	1	4	10	8	93	20	161	1
0.098	1	3	10	9	62	20	161	0
0.098	1	11	10	9	69	20	161	0
0.098	1	6	10	9	97	0	7	1
0.098	1	1	10	9	1	20	161	1
0.099	1	8	10	10	75	20	161	0
0.099	1	15	10	10	82	20	161	0
0.099	1	10	10	10	14	20	161	1
0.099	1	12	10	10	26	20	161	1
0.1	1	7	11	1	88	20	161	0
0.1	1	4	11	1	93	20	161	0
0.1	1	14	11	1	35	20	161	1
0.1	1	13	11	1	43	20	161	1
0.101	1	5	11	2	54	20	161	1
0.101	1	3	11	2	62	20	161	1
0.102	1	6	11	3	97	0	7	0
0.102	1	1	11	3	1	20	161	0
0.102	1	11	11	3	69	20	161	1
0.102	1	8	11	3	75	20	161	1
0.103	1	10	11	4	14	20	161	0
0.103	1	12	11	4	26	20	161	0
0.103	1	15	11	4	82	20	161	1
0.103	1	7	11	4	88	20	161	1
0.104	1	14	11	5	35	20	161	0
0.104	1	13	11	5	43	20	161	0
0.104	1	4	11	5	93	20	161	1
0.104	1	6	11	5	97	0	7	1
0.105	1	5	11	6	54	20	161	0
0.105	1	3	11	6	62	20	161	0
0.105	1	2	11	6	100	0	7	1
0.105	1	1	11	6	1	20	161	1
0.106	1	11	11	7	69	20	161	0
0.106	1	8	11	7	75	20	161	0
0.106	1	10	11	7	14	20	161	1
