% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
116	1	10	14	0	20	161	0	1	0
116	1	1	1	0	20	161	0	1	0
116	2	15	82	0	20	161	0	1	1
116	2	7	88	0	20	161	0	1	1
117	1	12	26	0	20	161	0	1	0
117	1	14	35	0	20	161	0	1	0
117	2	4	93	0	20	161	0	1	1
117	2	6	97	0	0	7	0	1	1
118	1	5	54	0	20	161	0	1	0
118	1	13	43	0	20	161	0	1	0
118	2	2	100	0	0	7	0	1	1
118	2	9	102	0	0	7	0	1	1
119	1	3	62	0	20	161	0	1	0
119	1	11	69	0	20	161	0	1	0
119	2	1	1	0	20	161	0	1	1
119	2	10	14	0	20	161	0	1	1
120	1	15	82	0	20	161	0	1	0
120	1	8	75	0	20	161	0	1	0
120	2	12	26	0	20	161	0	1	1
120	2	14	35	0	20	161	0	1	1
121	1	7	88	0	20	161	0	1	0
121	1	4	93	0	20	161	0	1	0
121	2	13	43	0	20	161	0	1	1
121	2	5	54	0	20	161	0	1	1
122	1	2	100	0	0	7	0	1	0
122	2	11	69	0	20	161	0	1	1
122	2	3	62	0	20	161	0	1	1
123	1	9	102	0	0	7	0	1	0
123	1	1	1	0	20	161	0	1	0
123	2	15	82	0	20	161	0	1	1
123	2	8	75	0	20	161	0	1	1
124	1	10	14	0	20	161	0	1	0
124	1	12	26	0	20	161	0	1	0
124	2	4	93	0	20	161	0	1	1
124	2	7	88	0	20	161	0	1	1
125	1	14	35	0	20	161	0	1	0
125	1	13	43	0	20	161	0	1	0
125	2	2	100	0	0	7	0	1	1
125	2	6	97	0	20	161	0	1	1
126	1	5	54	0	20	161	0	1	0
126	1	3	62	0	20	161	0	1	0
126	2	1	1	0	20	161	0	1	1
126	2	9	102	0	0	7	0	1	1
127	1	8	75	0	20	161	0	1	0
127	1	11	69	0	20	161	0	1	0
127	2	12	26	0	20	161	0	1	1
127	2	10	14	0	20	161	0	1	1
128	1	7	88	0	20	161	0	1	0
128	1	15	82	0	20	161	0	1	0
128	2	13	43	0	20	161	0	1	1
128	2	14	35	0	20	161	0	1	1
129	1	6	97	0	20	161	0	1	0
129	1	4	93	0	20	161	0	1	0
129	2	3	62	0	20	161	0	1	1
129	2	5	54	0	20	161	0	1	1
130	1	2	100	0	20	161	0	1	0
130	2	11	69	0	20	161	0	1	1
130	2	8	75	0	20	161	0	1	1
131	1	10	14	0	20	161	0	1	0
131	1	1	1	0	20	161	0	1	0
131	2	15	82	0	20	161	0	1	1
131	2	7	88	0	20	161	0	1	1
132	1	12	26	0	20	161	0	1	0
132	1	14	35	0	20	161	0	1	0
132	2	4	93	0	20	161	0	1	1
132	2	6	97	0	20	161	0	1	1
133	1	5	54	0	20	161	0	1	0
133	1	13	43	0	20	161	0	1	0
133	2	2	100	0	20	161	0	1	1
133	2	9	102	0	20	161	0	1	1
134	1	3	62	0	20	161	0	1	0
134	1	11	69	0	20	161	0	1	0
134	2	1	1	0	20	161	0	1	1
134	2	10	14	0	20	161	0	1	1
135	1	15	82	0	20	161	0	1	0
135	1	8	75	0	20	161	0	1	0
135	2	12	26	0	20	161	0	1	1
135	2	14	35	0	20	161	0	1	1
136	1	7	88	0	20	161	0	1	0
136	1	4	93	0	20	161	0	1	0
136	2	13	43	0	20	161	0	1	1
136	2	5	54	0	20	161	0	1	1
137	1	6	97	0	20	161	0	1	0
137	1	2	100	0	20	161	0	1	0
137	2	11	69	0	20	161	0	1	1
137	2	3	62	0	20	161	0	1	1
